amfi_code,scheme_name,fund_house,category,plan,return_1yr_pct,return_3yr_pct,return_5yr_pct,benchmark_3yr_pct,alpha,beta,sharpe_ratio,sortino_ratio,std_dev_ann_pct,max_drawdown_pct,aum_crore,expense_ratio_pct,morningstar_rating,risk_grade,excess_return,expense_efficiency,risk_adjusted_return,drawdown_score,high_performer
119551,SBI Bluechip Fund - Regular Plan - Growth,8,6,1,12.42,12.36,14.45,11.49,0.87,0.89,0.88,1.29,14.0,-21.7,14288,1.54,4,2,0.8699999999999992,9.377027903958469,0.8827940861367045,78.3,1
119552,SBI Bluechip Fund - Direct Plan - Growth,8,6,0,15.25,11.3,14.23,9.52,1.78,0.87,0.81,1.29,14.0,-24.43,1231,0.66,3,2,1.7800000000000011,21.527987897125566,0.8070852081994144,75.57,1
119598,SBI Small Cap Fund - Regular Plan - Growth,8,10,1,24.56,23.39,20.67,22.16,1.23,0.89,0.94,1.35,25.0,-13.35,19259,1.43,5,4,1.2300000000000004,14.444444444444448,0.9355625774969001,86.65,1
119599,SBI Small Cap Fund - Direct Plan - Growth,8,10,0,20.59,23.14,21.82,22.01,1.13,1.04,0.93,1.67,25.0,-24.78,36061,0.72,4,4,1.129999999999999,30.26352288488211,0.9255629774809008,75.22,1
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,8,2,1,5.34,6.07,5.43,4.47,1.6,0.22,1.52,2.11,4.0,-2.3,24101,0.77,5,1,1.6000000000000005,7.042801556420233,1.517120719820045,97.7,0
100016,HDFC Top 100 Fund - Regular Plan - Growth,3,6,1,10.94,14.84,11.32,14.06,0.78,0.97,1.06,1.7,14.0,-17.41,6434,1.55,5,2,0.7799999999999994,7.298517085751129,1.0599242911220628,82.59,0
125497,HDFC Top 100 Fund - Direct Plan - Growth,3,6,0,11.48,13.38,13.48,12.25,1.13,0.97,0.96,1.45,14.0,-33.5,10611,0.92,4,2,1.1300000000000008,14.636264929424538,0.9556460252839084,66.5,0
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,3,8,1,15.43,16.58,17.69,15.63,0.95,0.91,0.87,1.44,19.0,-13.67,23185,1.38,5,0,0.9499999999999975,12.809558291093413,0.8725856533866637,86.33,1
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,3,8,0,19.98,15.29,15.85,14.39,0.9,1.04,0.8,1.38,19.0,-32.22,18792,0.78,4,0,0.8999999999999986,20.294494238156208,0.8046944897636965,67.78,1
100025,HDFC Short Term Debt Fund - Regular - Growth,3,9,1,6.83,7.37,6.41,5.39,1.98,0.44,1.84,2.79,4.0,-6.01,27953,0.56,3,1,1.9800000000000004,11.42602495543672,1.842039490127468,93.99,0
120503,ICICI Pru Bluechip Fund - Regular - Growth,4,6,1,15.63,11.54,11.46,10.88,0.66,0.96,0.82,1.12,14.0,-25.91,36022,1.42,4,2,0.6599999999999984,8.064743138634766,0.8242268409399328,74.09,0
120504,ICICI Pru Bluechip Fund - Direct - Growth,4,6,0,14.12,14.41,13.02,13.53,0.88,1.03,1.03,1.27,14.0,-26.59,41553,0.8,3,2,0.8800000000000008,16.254681647940075,1.0292121991286338,73.41,0
120505,ICICI Pru Midcap Fund - Regular - Growth,4,8,1,14.02,18.08,17.55,17.19,0.89,1.0,0.95,1.45,19.0,-21.84,979,1.36,3,0,0.889999999999997,12.894930198383543,0.9515288669017419,78.16,1
120506,ICICI Pru Value Discovery Fund - Regular - Growth,4,11,1,16.67,14.76,12.6,14.21,0.55,0.92,0.98,1.5,15.0,-21.89,2571,1.41,4,3,0.5499999999999989,8.92983699503898,0.9839344043730418,78.11,0
